split,group_level,method,config_label,group_ratio,ablation_type,n_samples,success_rate_mean,success_rate_std,confidence_mean,confidence_std,l2_mean,l2_std,channels_mean,channels_std,sensor_groups_mean,sensor_groups_std,modality_groups_mean,modality_groups_std,temporal_grad_mean,temporal_grad_std,iterations_mean,iterations_std,time_mean,time_std
subject,modality,mcels,M-CELS,,baseline,150,90.000000,30.100503,88.249799,29.530016,45.772859,19.795496,23.246667,11.563618,6.393333,2.479166,11.173333,4.737040,0.012945,0.008329,679.300000,228.661168,9.996751,3.450930
subject,modality,sa,SA (SHAP r=0.3),0.300000,sa_ratio_sweep,150,72.666667,44.716357,50.838124,30.471644,34.940765,16.309770,10.726667,1.892751,3.440000,0.498050,3.953333,0.211631,0.011873,0.014292,161.260000,45.130747,2.935402,1.220080
subject,modality,sa,SA (SHAP r=0.6),0.600000,sa_ratio_sweep,150,80.666667,39.623508,61.168708,33.266956,43.398871,15.997311,21.306667,5.595956,6.113333,0.596822,8.520000,0.910196,0.024168,0.032576,166.300000,41.778860,3.138015,1.350498
subject,modality,sa,SA (SHAP r=0.9),0.900000,sa_ratio_sweep,150,93.333333,25.027949,75.901099,25.750800,47.622961,17.856284,29.813333,8.550197,7.780000,0.554058,12.706667,1.724465,0.021050,0.031074,177.580000,35.552640,3.243951,1.155924
subject,modality,sa,"SA (no SHAP, all groups)",0.800000,sa_mechanism,150,91.333333,28.228851,73.615338,27.906215,48.077194,18.347622,33.373333,9.943158,7.806667,0.551954,14.373333,2.054776,0.024976,0.037482,173.960000,38.470573,3.079106,0.660086
subject,modality,sa,SA (no adaptive weights),0.800000,sa_mechanism,150,90.000000,30.100503,73.154692,28.432595,44.445948,16.580451,20.906667,10.011635,6.673333,1.453977,9.520000,2.679076,0.020018,0.034737,202.453333,7.409940,3.912912,1.000304
subject,modality,sa,SA (no group loss),0.800000,sa_mechanism,150,95.333333,21.163051,76.691182,23.090813,46.754408,16.694147,26.426667,6.901363,7.540000,0.651586,11.106667,1.269924,0.017447,0.024045,165.513333,38.609686,3.162888,1.325560
subject,modality,lg,LG (SHAP pruned),0.800000,lg_variant,150,94.666667,22.545008,80.780368,22.695059,50.763717,19.531899,18.000000,11.049614,5.800000,1.798583,8.186667,3.103120,0.011594,0.015533,517.960000,219.476585,9.655002,4.207605
subject,modality,lg,"LG (no SHAP, from scratch)",0.800000,lg_variant,150,90.666667,29.187353,79.299595,27.864552,53.719577,22.546910,25.013333,16.428403,6.473333,1.944521,10.846667,4.549116,0.015984,0.020048,530.506667,242.408766,9.335615,4.354381
subject,modality,lg,LG (fixed prune),0.800000,lg_variant,150,88.666667,31.806180,75.236618,28.726815,43.485201,20.731757,11.526667,8.639457,4.100000,2.097458,5.160000,3.166689,0.007186,0.008065,537.206667,244.299280,7.988703,3.866548
